title,url,date,category,teaser,body,image
"Title: McConnell's legacy under attack as Kentucky GOP primary candidates vie for Trump endorsement
","URL: https://www.lpm.org/news/2025-08-05/mcconnells-legacy-under-attack-as-kentucky-gop-primary-candidates-vie-for-trump-endorsement
","Date from URL: Not found
","Category: No category found
","Teaser: U.S. Sen. Mitch McConnell waves to the crowds in Fancy Farm after speaking at his 30th annual political picnic.Hannah Saad/WKMShide caption
","Body: McConnell's legacy under attack as Kentucky GOP primary candidates vie for Trump endorsementLPM NewsThis year's Fancy Farm picnic in western Kentucky turned into a debate over Sen. Mitch McConnell's legacy within his own party as GOP candidates for his office vie for President Trump's endorsement.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1760x990+0+53/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fb4%2F3b%2Fa171c1154d288823e5e9027f2d31%2Fimage-2025-08-05t205839-902.jpg

"
"Title: Texas House Democrats break quorum again by staying out of state
","URL: https://www.npr.org/2025/08/04/g-s1-80957/texas-redistricting-quorum-walkout
","Date from URL: 2025-08-04
","Category: National
","Teaser: Texas House Speaker Dustin Burrows announces that the chamber is short of a quorum after Democrats left the state to temporarily block the redrawing of Texas congressional maps, Monday, Aug. 4, 2025, in Austin, Texas. (AP Photo/Michael Thomas)Michael Thomas/AP/FR65778 APhide caption
","Body: NationalTexas House Democrats break quorum again by staying out of stateThe Texas House again failed to reach the quorum needed to vote on a new congressional map that could give Republicans five new seats, after state Democrats forced a legislative standstill.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2400x1350+0+352/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F78%2F35%2Fef8f8de14256b751de60df204745%2Fap25216760800827.jpg

"
"Title: Texas Democrats walked out to block the GOP. How well has the tactic worked before?
","URL: https://www.npr.org/2025/08/04/nx-s1-5492114/quorum-break-texas-democrats-walkout
","Date from URL: 2025-08-04
","Category: No category found
","Teaser: No teaser found
","Body: Texas Democrats walked out to block the GOP. How well has the tactic worked before?
","Image: No image found

"
"Title: Tennessee man with heart device said he was in pain as he was executed
","URL: https://wpln.org/post/tennessee-executes-byron-black-despite-worries-about-his-heart-implant/
","Date from URL: Not found
","Category: No category found
","Teaser: John Lozier, an anti-death penalty protester, holds a sign making reference to Gov. Bill Lee as he stands outside Riverbend Maximum Security Institution in May.Mark Humphrey/APhide caption
","Body: Tennessee man with heart device said he was in pain as he was executedWPLNThe state of Tennessee executed Byron Black Tuesday for killing his girlfriend and her daughter in 1988. He had a heart implant and witnesses say he seemed to be in distress during the execution.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1536x864+0+0/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F4e%2Fe4%2F913f5fa84d7c9d4a426a49bf20e3%2Fimage-27.jpg

"
"Title: Your call to a local Social Security office may be picked up by someone who can't help
","URL: https://www.npr.org/2025/08/05/nx-s1-5482913/social-security-phone-sharing-system
","Date from URL: 2025-08-05
","Category: Politics
","Teaser: A Social Security Administration office building is seen on March 6 in Nashville, Tenn.George Walker IV/APhide caption
","Body: PoliticsYour call to a local Social Security office may be picked up by someone who can't helpPhone calls to local Social Security offices are currently being rerouted to other field offices — often to staff who don't have jurisdiction over the caller's case, employees say.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4500x2531+0+290/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fb7%2Fd3%2F2ffbac3142af83470a56b1d522b0%2Fap25066150402679.jpg

"
"Title: Their husbands were deported to Laos. Now they're picking up the pieces together
","URL: https://thepublicsradio.org/immigration/their-husbands-were-deported-to-laos-now-theyre-picking-up-the-pieces-together/
","Date from URL: Not found
","Category: No category found
","Teaser: Cassie Souvannaxa and Tina Phommachan have only gotten to know each other recently, but they've become extremely close. They met while visiting their husbands at the Wyatt Detention Facility, in Central Falls, Rhode Island.Paul C. Kelly Campos/The Public’s Radiohide caption
","Body: Their husbands were deported to Laos. Now they're picking up the pieces togetherThe Public's RadioCassie and Tina's husbands are among more than 100 Southeast Asians across the U.S. who have been deported to Laos or Vietnam since inauguration day. It's the first time either man has been to Laos.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1200x675+0+95/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F2a%2Fba%2F03f86da74207990024f0c10da14e%2Fimage-2025-08-05t185638-180.jpg

"
"Title: Yosemite employees worked for weeks with no pay before the government hired them
","URL: https://www.npr.org/2025/08/04/nx-s1-5387722/yosemite-workers-housing-volunteer-no-pay
","Date from URL: 2025-08-04
","Category: Investigations
","Teaser: Off-duty Yosemite employees and locals protest the federal government's actions to reduce staffing at the Yosemite Village.Chiara Eisner/NPRhide caption
","Body: ExclusiveInvestigationsYosemite employees worked for weeks with no pay before the government hired themSeasonal employees counting on housing at Yosemite were asked to volunteer for the park while the government was unable to onboard them at the start of the summer.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4032x2268+0+378/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fe2%2F1a%2F75360f1d4cd1a84f9aeeb0393e3f%2Fimg-0382.jpg

"
"Title: No title found
","URL: https://ondemand.npr.org/anon.npr-mp3/npr/atc/2025/08/20250805_atc_yosemite_unpaid_seasonal_workers.mp3?t=progseg&e=nx-s1-5475488&p=2&seg=9&d=272&size=4368136&sc=siteplayer&aw_0_1st.playerid=siteplayer
","Date from URL: 2025-08-20
","Category: No category found
","Teaser: No teaser found
","Body: No body found
","Image: No image found

"
"Title: Dali owners suing ship manufacturer for Baltimore's Key Bridge crash
","URL: https://www.wypr.org/wypr-news/2025-08-04/dali-owners-suing-ship-manufacturer-for-baltimores-key-bridge-crash
","Date from URL: Not found
","Category: No category found
","Teaser: The container ship Dali is stuck under part of the Francis Scott Key Bridge after the ship hit the bridge Tuesday March 26, 2024, in Baltimore, Md.Steve Helber/APhide caption
","Body: Dali owners suing ship manufacturer for Baltimore's Key Bridge crashWYPR - 88.1 FM BaltimoreThe owners of the Dali, the ship that hit the Francis Scott Key Bridge in March 2024, are suing the builders of the vessel for defective design.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1760x990+0+92/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Ff8%2F6d%2Ff5a589c945a7a59f30022a548011%2Fbaltimore-bridge.jpg

"
"Title: Sean Combs denied bail, will remain in custody until sentencing
","URL: https://www.npr.org/2025/08/05/nx-s1-5493172/sean-combs-denied-bail
","Date from URL: 2025-08-05
","Category: Sean Combs trial
","Teaser: Last week, Sean Combs' attorneys filed a request that the music mogul be released on bail before his sentencing hearing.Gregg DeGuire/Getty Imageshide caption
","Body: Sean Combs trialSean Combs denied bail, will remain in custody until sentencingCombs was convicted on July 2 of two counts of transportation for prostitution. The music mogul had filed a request to be released on bail before his sentencing, which is scheduled for Oct. 3.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2558x1439+0+50/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F9e%2F88%2Fce997bad4523bfdaff53b6cb4ab0%2Fgettyimages-1201990151.jpg

"
